,PI,EQUIPE,PTS,JO,G,N,P,F,Bp,Bc,P̩,Dif
0,1,A.S. MONACO,95,38,30,5,3,0,107,31,0,76
1,2,PARIS SAINT-GERMAIN,87,38,27,6,5,0,83,27,0,56
2,3,O.G.C NICE,78,38,22,12,4,0,63,36,0,27
3,4,OLYMPIQUE LYONNAIS,67,38,21,4,13,0,77,48,0,29
4,5,OLYMPIQUE MARSEILLE,62,38,17,11,10,0,57,41,0,16
5,6,GIRONDINS BORDEAUX,59,38,15,14,9,0,53,43,0,10
6,7,F.C NANTES,51,38,14,9,15,0,40,54,0,-14
7,8,A.S ST-ETIENNE,50,38,12,14,12,0,41,42,0,-1
8,9,STADE RENNAIS,50,38,12,14,12,0,36,42,0,-6
9,10,E.A GUINGAMP,50,38,14,8,16,0,46,53,0,-7
10,11,L.O.S.C,46,38,13,7,18,0,40,47,0,-7
11,12,ANGERS S.C.O,46,38,13,7,18,0,40,49,0,-9
12,13,TOULOUSE F.C,44,38,10,14,14,0,37,41,0,-4
13,14,METZ F C,43,38,11,10,17,0,39,72,0,-33
14,15,MONTPELLIER H.S.C,39,38,10,9,19,0,48,66,0,-18
15,16,DIJON F.C.O,37,38,8,13,17,0,46,58,0,-12
16,17,S.M CAEN,37,38,10,7,21,0,36,65,0,-29
17,18,F.C LORIENT,36,38,10,6,22,0,44,70,0,-26
18,19,A.S NANCY LORRAINE,35,38,9,8,21,0,29,52,0,-23
19,20,S.C BASTIA,34,38,8,10,20,0,29,54,0,-2
